Engine, Origin, Designer, Vehicle, Use, Propellant, Specific impulse (s)[a], Thrust (N)[a], Mass (kg), Thrust:weight ratio[b], Chamber pressure (bar), Oxidiser:fuel ratio
Aeon 1, USA, Relativity Space, Terran 1, 1st, CH4?/?LOX, 310, 86 740 (SL)[1], , , , 
Aeon 1 Vacuum, USA, Relativity Space, Terran 1, 2nd, CH4?/?LOX, 360, 100 085 (SL)[2], , , , 
AJ-60A, USA, Aerojet, Atlas V, Booster, Solid, 275, 1 270 000[3], , , , 
AR1, USA, Aerojet Rocketdyne, Beta (potential)[4], 1st, RP-1?/?LOX, , 2 200 000 (SL)[5], , , , 2.72
BE-3, USA, Blue Origin, New Shepard, 1st, LH2?/?LOX, , 490 000[6], , , , 
BE-3U, USA, Blue Origin, New Glenn, 2nd, LH2?/?LOX, , 710 000[7], , , , 
BE-4, USA, Blue Origin, New Glenn Vulcan, 1st, CH4?/?LOX, , 2 400 000[8][9], , , 134[10], 
Boeing 601HP[c], USA, Boeing, Boeing 601HP satellites, Vacuum, Xenon, 2 568 @0.5 kW, 0.018 @0.5 kW, , , , 
CE-20, India, LPSC, GSLV Mk III, Upper, LH2?/?LOX, 443, 200 000, 588, 34.7, 60.00, 5.05
CE-7.5, India, LPSC, GSLV Mk II, Upper, LH2?/?LOX, 454[11], 73 500 to 93 100, 445, 16.85, 58, 
Engine-2, USA, Launcher Space, Rocket-1, 1st, RP-1 / LOX, 327[12] 290 (SL), 100 000[12], , , , 2.62
Engine-2 Vacuum, USA, Launcher Space, Rocket-1, 2nd, RP-1 / LOX, 365[12], 100 000[12], , , , 2.62
GEM 63, USA, Northrop Grumman, Atlas V, Booster, Solid, , 373 800[13], 49 300, , , 
GEM 63XL, USA, Northrop Grumman, Atlas V, Booster, Solid, , 450 000[14], 53 400, , , 
Hadley, USA, Ursa Major Technologies, GOLauncher 1[15], 1st, RP-1?/?LOX, , 22 241 (SL)[16], , , , 
HM-7B, Europe, Snecma, Ariane 2 Ariane 3 Ariane 4 Ariane 5 ECA, Upper, LH2?/?LOX, 446[17] 310 (SL)[18], 64 800[17] 43 600 (SL)[18], 165[17], 43.25, 37[17], 5
LE-5B, Japan, Mitsubishi JAXA, H-IIA H-IIB, Upper, LH2?/?LOX, 447[19], 137 000, 269, 51.93, 36.0, 5
LE-7A, Japan, Mitsubishi JAXA, H-IIA H-IIB, 1st, LH2?/?LOX, 438[20] 338 (SL)[20], 1 098 000 870 000 (SL), 1 800, 62.2, 121, 5.9
Lightning 1[21], USA, Firefly Aerospace, Alpha, 2nd, RP-1?/?LOX, 322, 70 100, , , , 
Merlin 1D FT, USA, SpaceX, Falcon 9 FT Falcon Heavy, 1st, RP-1?/?LOX, 311, 914 000[22] 845 000 (SL)[22], 470, 194.5[22], , 
Merlin Vacuum 1D, USA, SpaceX, Falcon 9 Falcon Heavy, 2nd, RP-1?/?LOX, 348[23], 934 000[23], , , , 2.36
