Meaning, Spanish, Portuguese
mayor, alcalde < Hisp. Ar. < Arabic alqá?i < q??i [72], presidente da câmara (municipal) / prefeito < Lat. praesidens + camara / praef?ctus, 
bricklayer  stonemason, albañil < Hisp. Ar. < Arabic albanní < bann?[73], pedreiro < Lat. petra, 
potter, alfarero < Hisp. Ar. < Arabic alfa? ??r < fa? ??r[74], oleiro < Lat. ollarius, 
vest, chaleco < Alg. Ar. < Turk xileco < yelek[75], colete < Ita. coletto, 
basil, albahaca < Hisp. Ar. < Arabic al?abáqa < ?abaqah[76], basílico  manjericão < Lat.  uncertain origin basilicum  uncertain, 
bean, alubia < Hisp. Ar. < Arabic alubía < al-lubiya ???????[77], feijão < Lat. faseolus [78], 
celery, chirivía < Hisp. Ar. alcaravea < alkarawíyya [79][80], aipo < Lat. apium, 
watermelon, sandía < Hisp. Ar. < Arabic sindiyya ?????[77], melancia < Lat. bilancia < bilanx, 
pistachio, alfóncigo < Hisp. Ar. < Arabic fustuq[81], pistácio  pistacho < Lat < Gre pistacium < pistákia[82], 
thrush, zorzal < Hisp. Ar. < Arabic zurzál < zurzir[83], tordo < Lat. turdus, 
hobby (bird), alcotán < Hisp. Ar. < Arabic qu?án < qa??m[84], ógea < uncertain origin *maybe O.Fra. hobe[85], 
mackerel, jurel < Hisp. Ar < Lat šuríl < saurus[86], cavala < Gaulish < Celt . caballos [87], 
scorpion, alacrán  escorpión < His. Ar. < Arabic  Lat. al‘aqráb < aqrab  scorp?o [88], escorpião < Lat. scorp?o, 
mercury, azogue < His. Ar. < Arabic azzáwq < z?w?q[89], mercúrio < Lat. Mercurius, 
breast cancer, zaratán  cáncer de mama < Arabic  Lat. saratan  cancer mamma [77], cancro/câncer da mama < Lat. cancer mamma, 
robe (bath), albornoz < Hisp. Ar. < Arabic burnús < burn?s [90], roupão  robe < Gothic  Fra. rauba  robe [91], 
hostess  stewardess, azafata < Hisp. Ar < Arabic. assafá? < safá?[92], hospedeira (de bordo) < Lat. hospitis [93], 
sewage (system)  gutter, alcantarilla < Hisp. Ar. < Arabic alqán?ara < qán?arah[94], esgoto  goteira < Lat. guttae [95], 
jerk, mamarracho < Hisp. Ar < Arabic muharrá? < muharri?[96], parvo < Lat . parvulus [97], 
drunk  drunkard, borracho < Cat < Arabic marratxa < mirrassa[98], bêbado < Lat . bibitum, 
to crimp  to compress  to link (verb), engarzar < Hisp. Ar. < Arabic ?árza< ?arzah[99], engrenar  endentar  comprimir < Lat. granum  dens  comprimere, 
to duck out  to skive off (verb), escaquearse < Hisp. Ar. < Arabic iššáh < š?h[100], escapar < Lat. < Proto-Italic excapp? <   kaput, 
to save(financial) (verb), ahorrar < Arabic. alhurr ????[101], poupar < Lat. palp? < palp?re, 
corner  edge, rincón < Hisp. Ar. < Arabic rukán < rukn[102], canto < Celtic kant[103], 
flowerbed  small garden  vegetable patch, arriate < Hisp. Ar. < Arabic arriyá? <riy?? [104], canteiro < Celtic kant[103], 
Majorcan, mallorquí < Lat. maiorica + Arabic gentilic suffix -iyy, Maiorquino < Lat maiorica + -inus, 
Iraqi, iraquí  irakí < Arabic demonym iraqiyy ?????[105], Iraquiano < Lat. + suffix Iraqi + -anus, 
